sex,age,address,studytime,schoolsup,famsup,internet,passed
F,18,U,2,yes,no,no,no
F,17,U,2,no,yes,yes,no
F,15,U,2,yes,no,yes,yes
F,15,U,3,no,yes,yes,yes
F,16,U,2,no,yes,no,yes
M,16,U,2,no,yes,yes,yes
M,16,U,2,no,no,yes,yes
F,17,U,2,yes,yes,no,no
M,15,U,2,no,yes,yes,yes
M,15,U,2,no,yes,yes,yes
F,15,U,2,no,yes,yes,no
F,15,U,3,no,yes,yes,yes
M,15,U,1,no,yes,yes,yes
M,15,U,2,no,yes,yes,yes
M,15,U,3,no,yes,yes,yes
F,16,U,1,no,yes,yes,yes
F,16,U,3,no,yes,yes,yes
F,16,U,2,yes,yes,no,yes
M,17,U,1,no,yes,yes,no
M,16,U,1,no,no,yes,yes
M,15,U,2,no,no,yes,yes
M,15,U,1,no,yes,yes,yes
M,16,U,2,no,no,yes,yes
M,16,U,2,no,yes,yes,yes
F,15,R,3,yes,yes,yes,no
F,16,U,1,no,yes,yes,no
M,15,U,1,no,yes,yes,yes
M,15,U,1,no,no,yes,yes
M,16,U,2,yes,yes,yes,yes
M,16,U,2,no,yes,yes,yes
M,15,U,2,no,yes,yes,yes
M,15,U,2,no,yes,yes,yes
M,15,R,2,no,yes,yes,yes
M,15,U,2,no,no,yes,yes
M,16,U,1,no,yes,yes,yes
F,15,U,1,no,yes,no,no
M,15,U,3,no,yes,yes,yes
M,16,R,3,no,yes,yes,yes
F,15,R,3,yes,yes,yes,yes
F,15,R,1,yes,yes,no,yes
F,16,U,2,no,yes,yes,yes
M,15,U,1,no,yes,yes,yes
M,15,U,2,no,yes,yes,yes
M,15,U,1,yes,yes,yes,yes
F,16,U,2,yes,no,yes,no
F,15,U,2,yes,yes,yes,no
F,16,U,2,no,yes,yes,yes
M,16,U,4,no,no,yes,yes
M,15,U,2,no,yes,no,yes
F,15,U,2,yes,yes,yes,no
F,16,U,2,no,yes,yes,yes
F,15,U,2,no,yes,yes,yes
M,15,U,1,no,no,no,yes
F,15,U,1,yes,yes,yes,yes
F,15,U,1,no,no,yes,yes
F,16,U,2,no,no,yes,yes
F,15,U,2,no,yes,yes,yes
M,15,U,2,no,yes,no,yes
M,15,U,2,yes,yes,yes,no
F,16,U,2,no,yes,yes,yes
F,16,R,2,no,yes,no,yes
F,16,U,1,yes,yes,yes,yes
F,16,U,2,yes,no,yes,no
F,16,U,3,yes,yes,yes,no
F,15,U,2,yes,no,yes,yes
F,16,U,2,no,yes,yes,yes
M,15,U,4,no,yes,yes,yes
F,16,U,4,yes,yes,yes,no
F,15,R,2,yes,yes,yes,no
F,15,R,4,no,yes,yes,yes
M,16,U,4,no,yes,yes,yes
M,15,U,4,no,no,yes,yes
F,15,R,2,yes,yes,yes,no
M,16,U,1,no,no,no,yes
F,16,U,2,yes,yes,yes,yes
M,15,U,2,no,yes,yes,yes
M,15,U,4,no,no,yes,yes
F,16,U,4,no,no,yes,yes
M,17,U,1,yes,yes,yes,yes
F,16,U,2,no,yes,yes,no
M,15,U,1,yes,yes,yes,yes
M,15,U,3,yes,no,yes,yes
F,15,U,2,no,yes,yes,no
M,15,U,2,no,no,yes,yes
F,15,U,2,no,yes,yes,yes
F,15,U,2,no,no,yes,no
F,16,U,2,no,yes,no,no
F,15,U,3,no,yes,yes,yes
M,16,U,2,no,no,yes,yes
M,16,U,2,no,yes,no,no
F,16,U,3,no,yes,yes,no
F,15,U,1,no,no,yes,yes
F,16,U,2,yes,yes,no,no
F,16,U,2,no,yes,yes,yes
M,15,U,4,no,yes,yes,yes
F,15,R,4,yes,yes,yes,yes
M,16,R,1,yes,yes,yes,yes
F,16,U,2,no,yes,no,yes
F,16,U,1,no,no,yes,yes
F,16,U,3,yes,yes,yes,no
M,16,U,1,yes,yes,yes,no
M,16,U,3,no,yes,yes,yes
M,15,U,1,no,yes,yes,yes
F,15,U,2,yes,yes,yes,no
M,15,U,2,no,yes,yes,yes
F,15,U,4,yes,no,no,yes
F,15,U,4,yes,yes,yes,no
M,16,U,3,no,yes,yes,yes
M,15,R,4,no,yes,yes,yes
F,16,U,3,no,yes,yes,yes
M,15,U,1,no,no,yes,yes
F,16,R,3,yes,yes,yes,yes
F,16,U,2,yes,no,yes,yes
M,15,U,1,no,no,yes,yes
M,15,R,2,no,no,yes,no
M,16,U,2,no,yes,yes,yes
M,15,U,2,no,yes,no,yes
M,16,U,1,no,no,yes,yes
M,17,R,2,no,yes,yes,no
M,15,U,1,no,no,yes,yes
F,15,U,2,no,no,yes,yes
M,15,U,4,no,yes,yes,yes
F,16,U,2,no,yes,yes,yes
M,16,U,1,no,yes,yes,yes
F,16,U,2,no,no,yes,no
M,15,U,1,yes,no,yes,yes
F,15,U,2,yes,no,yes,yes
F,19,U,2,no,yes,no,no
M,18,R,1,no,yes,yes,no
M,16,R,1,no,no,yes,yes
F,15,R,3,no,yes,yes,no
F,15,U,1,no,yes,yes,no
F,17,U,1,no,yes,yes,yes
F,16,U,1,no,no,yes,yes
M,15,R,2,no,yes,no,no
F,15,U,3,no,yes,yes,no
M,17,R,2,no,no,no,no
F,16,U,1,no,yes,yes,no
M,16,U,2,no,no,no,yes
F,15,U,1,no,no,yes,yes
M,15,U,4,yes,yes,yes,no
M,16,U,1,no,yes,yes,no
F,15,U,3,no,yes,yes,yes
F,16,U,1,no,no,yes,yes
M,17,U,1,no,yes,yes,no
F,15,U,2,no,yes,yes,yes
F,15,U,2,no,yes,yes,no
F,15,U,2,no,yes,yes,yes
M,16,U,1,no,yes,yes,no
M,15,U,1,no,no,yes,yes
M,18,U,1,no,no,yes,no
M,16,U,1,no,no,no,yes
F,15,R,3,no,yes,yes,yes
M,19,U,1,no,yes,yes,no
F,17,U,1,yes,yes,no,yes
M,15,R,2,yes,no,no,no
M,17,R,1,no,no,no,yes
F,18,R,1,no,yes,no,yes
M,16,R,1,no,no,no,yes
M,16,U,2,no,yes,yes,yes
M,17,R,1,no,no,yes,no
M,15,R,2,yes,yes,yes,no
M,16,U,1,no,no,no,no
M,17,U,1,no,no,yes,yes
M,17,R,2,no,no,no,no
M,16,U,1,no,yes,no,yes
M,16,U,2,no,no,yes,yes
F,16,U,2,no,no,yes,yes
F,16,U,2,no,yes,yes,no
F,16,U,2,no,yes,yes,yes
M,16,U,1,no,yes,yes,no
M,16,U,2,no,yes,yes,yes
M,17,U,2,no,yes,yes,yes
F,16,U,2,no,no,yes,no
F,16,U,2,no,yes,yes,no
M,17,U,2,no,no,yes,no
F,16,U,2,no,no,yes,yes
M,17,U,2,no,no,yes,no
M,16,R,1,no,yes,yes,no
M,17,U,2,no,yes,yes,yes
M,16,U,2,no,yes,yes,no
M,16,U,2,no,no,yes,yes
F,17,U,2,no,yes,no,yes
F,17,U,2,no,yes,yes,no
F,16,U,2,no,yes,yes,yes
M,17,U,2,no,yes,yes,yes
M,16,U,1,no,yes,yes,yes
M,16,U,2,no,no,yes,yes
F,17,U,2,no,yes,yes,no
M,17,R,2,no,no,no,yes
F,16,U,2,no,no,yes,yes
F,17,U,2,no,no,yes,no
M,17,U,2,no,no,yes,no
M,16,R,1,no,yes,yes,yes
M,16,U,1,no,no,yes,yes
F,17,U,2,no,no,yes,yes
M,17,U,1,no,no,yes,yes
M,16,R,1,no,yes,yes,yes
F,17,U,1,no,yes,yes,yes
F,16,U,2,no,yes,yes,yes
F,16,U,2,no,yes,yes,yes
F,16,U,2,yes,yes,no,yes
F,17,U,2,no,yes,no,yes
F,17,R,1,no,yes,yes,no
F,16,R,4,no,yes,yes,yes
F,17,U,3,no,yes,yes,no
F,16,U,2,no,yes,yes,no
F,16,U,2,no,no,yes,yes
F,16,U,1,no,yes,no,yes
F,17,R,3,no,yes,yes,no
F,19,U,4,no,yes,yes,no
M,17,U,2,no,yes,yes,yes
F,16,U,2,yes,yes,yes,yes
M,18,U,2,no,yes,yes,no
F,17,R,1,no,yes,no,yes
F,17,U,2,no,no,yes,yes
F,17,U,2,no,no,yes,no
M,18,U,2,no,yes,yes,no
F,17,U,1,no,yes,no,no
F,17,U,3,no,yes,yes,yes
F,17,R,2,no,yes,yes,no
F,17,U,3,no,yes,no,no
F,16,U,2,yes,no,yes,yes
M,18,U,2,no,yes,yes,yes
F,16,U,3,no,yes,yes,yes
F,18,R,2,no,no,yes,no
F,17,U,2,no,no,yes,yes
M,17,U,2,no,yes,yes,yes
M,18,U,2,yes,yes,yes,no
F,17,U,3,no,no,yes,yes
F,17,U,2,no,no,yes,yes
M,17,R,2,no,yes,yes,yes
M,17,U,2,yes,yes,yes,no
M,16,U,2,no,yes,yes,yes
M,16,U,2,no,yes,yes,no
M,16,U,3,no,no,yes,yes
M,17,U,2,no,no,yes,yes
F,16,U,1,no,no,yes,yes
F,17,R,2,no,no,no,yes
M,18,U,2,no,no,yes,no
M,17,U,2,no,no,yes,yes
M,17,R,2,no,yes,yes,yes
M,16,U,1,no,no,yes,no
M,16,U,1,no,no,yes,yes
F,18,U,3,no,yes,yes,no
M,16,U,1,no,no,yes,yes
M,17,U,1,no,no,yes,yes
M,22,U,1,no,no,yes,no
M,18,R,2,no,yes,yes,no
M,16,U,1,no,no,yes,yes
M,18,U,1,no,no,yes,no
M,16,U,2,yes,yes,yes,yes
M,18,U,1,no,no,yes,no
M,16,R,1,no,no,no,no
M,17,R,1,no,no,yes,yes
M,17,U,1,no,yes,yes,no
F,17,U,4,no,yes,yes,yes
M,19,U,2,no,yes,yes,yes
M,18,U,2,no,no,yes,yes
F,17,U,4,no,no,yes,no
F,18,U,2,no,yes,yes,yes
M,18,U,2,no,yes,yes,no
M,18,R,3,no,no,no,yes
F,17,U,3,no,no,no,no
F,18,U,3,no,yes,yes,no
M,18,R,2,no,yes,yes,yes
M,17,U,2,no,no,yes,yes
F,18,R,2,no,no,yes,yes
M,18,U,2,no,yes,yes,yes
F,18,R,2,no,yes,yes,no
F,19,U,2,no,yes,yes,no
F,18,U,4,no,yes,yes,yes
F,18,U,2,no,yes,no,yes
M,17,R,2,no,yes,no,yes
F,17,U,2,no,yes,yes,yes
F,17,U,2,yes,yes,yes,yes
F,18,R,2,no,no,yes,no
M,18,U,1,no,no,yes,no
F,18,U,2,yes,yes,yes,no
M,18,U,1,no,no,yes,yes
M,17,U,1,no,no,yes,no
M,17,U,1,no,no,yes,yes
F,18,R,4,no,yes,no,yes
F,18,U,2,yes,no,yes,yes
F,17,U,2,no,yes,yes,yes
M,17,U,2,no,no,yes,yes
F,18,U,3,no,yes,yes,yes
F,17,U,3,no,yes,yes,yes
M,18,U,3,no,no,yes,yes
M,18,U,2,no,yes,yes,yes
M,18,U,2,no,yes,yes,yes
F,17,U,3,no,yes,yes,yes
F,18,U,2,no,no,yes,yes
F,17,R,4,no,yes,no,yes
M,18,R,3,no,yes,yes,yes
M,17,U,1,no,yes,yes,yes
F,19,U,2,no,yes,yes,no
F,18,U,2,no,yes,yes,no
F,18,U,4,no,yes,yes,yes
M,18,U,1,no,yes,yes,yes
F,18,U,2,no,yes,yes,yes
M,17,U,1,no,no,yes,yes
F,17,U,3,no,yes,yes,yes
F,17,U,4,no,yes,yes,yes
M,19,U,2,no,yes,yes,yes
F,18,U,2,no,yes,yes,yes
M,20,U,1,no,no,no,yes
M,19,U,1,no,yes,yes,no
M,19,R,2,no,no,no,yes
F,19,U,2,yes,yes,yes,yes
F,19,U,2,no,no,no,no
F,19,U,2,no,yes,yes,yes
M,19,U,2,no,no,yes,yes
F,19,U,2,no,yes,yes,yes
F,19,U,3,no,no,yes,yes
F,19,R,3,no,no,yes,yes
F,18,U,2,no,yes,yes,no
F,18,U,3,no,yes,yes,no
F,17,R,3,no,yes,yes,yes
F,18,U,2,no,yes,yes,yes
F,17,U,2,no,yes,yes,yes
F,17,U,2,no,yes,no,no
F,17,R,3,no,yes,yes,yes
F,17,U,3,no,yes,yes,yes
F,17,U,3,no,no,yes,yes
M,18,U,3,no,no,yes,yes
M,17,U,1,no,no,yes,yes
M,17,R,1,no,yes,yes,yes
F,17,U,3,no,yes,yes,no
F,17,U,3,no,yes,yes,yes
M,18,U,4,no,yes,yes,no
F,17,R,3,no,yes,yes,yes
F,18,U,2,no,no,yes,no
F,18,U,2,no,no,yes,no
F,18,R,4,no,no,no,no
F,17,U,3,no,no,yes,yes
F,19,R,3,no,no,no,yes
F,17,U,2,no,yes,yes,no
F,18,U,4,no,yes,yes,yes
F,17,R,2,no,yes,yes,yes
F,19,U,3,no,no,yes,yes
M,18,U,2,no,yes,yes,no
M,18,U,2,no,no,yes,yes
F,17,U,2,no,yes,yes,no
F,18,U,3,no,yes,yes,yes
F,18,U,3,no,no,yes,yes
M,18,R,3,no,no,yes,yes
M,18,U,3,no,yes,yes,no
F,17,U,3,no,yes,yes,yes
M,18,R,1,no,yes,yes,yes
M,19,R,2,no,no,yes,no
M,17,U,2,no,yes,yes,yes
M,18,U,1,no,no,yes,no
M,19,R,1,no,yes,yes,no
M,17,R,2,no,yes,yes,yes
F,18,U,2,no,yes,no,no
F,17,R,2,no,yes,yes,yes
F,17,U,2,no,no,no,yes
M,18,U,1,no,no,yes,yes
F,18,U,3,no,no,yes,yes
F,18,R,2,no,no,no,yes
M,18,R,2,no,no,no,yes
F,18,U,2,no,yes,yes,yes
F,17,U,2,no,yes,yes,yes
F,17,R,2,no,no,no,yes
M,18,R,2,no,yes,no,yes
M,18,U,3,no,no,yes,yes
F,17,R,1,no,yes,yes,no
F,18,U,1,no,yes,yes,yes
F,18,R,2,no,yes,yes,yes
F,19,U,2,no,no,no,no
M,18,R,1,no,yes,yes,yes
F,17,U,3,no,no,no,yes
F,17,R,1,no,no,yes,no
F,18,R,3,no,no,yes,yes
F,18,R,3,no,no,yes,yes
F,20,U,3,no,yes,yes,yes
F,18,R,2,no,no,yes,yes
F,18,U,2,no,no,yes,yes
F,17,R,2,no,yes,yes,yes
M,18,U,2,no,no,yes,yes
M,18,R,1,no,no,yes,no
M,17,U,2,no,no,yes,yes
M,19,R,1,no,no,no,no
M,18,R,1,no,no,no,no
F,18,R,3,no,no,no,yes
F,18,R,1,no,yes,yes,no
F,19,R,3,no,no,yes,no
F,18,U,2,no,yes,yes,no
F,18,U,2,no,no,no,no
M,20,U,2,no,yes,no,no
M,17,U,1,no,no,yes,yes
M,21,R,1,no,no,no,no
M,18,R,1,no,no,yes,yes
M,19,U,1,no,no,yes,no
